pdb,description,method,datapath,github,protein,virus,hasRerefinement,Molprobity_score
6y7m,Full length 3C-like protease from SARS-CoV with a peptide like enzyme inhibitor in the active site. This X-ray crystal structure was phased using PDB entry 2bx4 for molecular replacement & has data to a resolution of 1.9Å.,X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV/6y7m,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/6y7m,3c_like_proteinase,SARS-CoV,0,
6y84,"X-ray diffraction data. Structure of the main-protease of SARS-CoV-2, with unliganded active site.",X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/6y84,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6y84,3c_like_proteinase,SARS-CoV-2,0,1.14
6yb7,Full length 3C-like protease from SARS-CoV. This X-ray crystal structure was phased using PDB entry 6lu7 for molecular replacement & has data to a resolution of 1.25Å.,X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/6yb7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6yb7,3c_like_proteinase,SARS-CoV-2,0,1.15
6ynq,Full length 3C-like protease from SARS-CoV with a 2-Methyl-1-tetralone ligand bound. This X-ray crystal structure was phased using PDB entry 6yb7 for molecular replacement & has data to a resolution of 1.8Å.,X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/6ynq,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6ynq,3c_like_proteinase,SARS-CoV-2,0,1.94
6yt8,Full length 3C-like protease from SARS-CoV with a 2-Methyl-1-tetralone ligand bound. This X-ray crystal structure was phased using PDB entry 6yb7 for molecular replacement & has data to a resolution of 1.8Ã….,X-RAY DIFFRACTION,../pdb\3c_like_proteinase\SARS-CoV-2\6yt8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\3c_like_proteinase\SARS-CoV-2\6yt8,..,pdb\3c_like_proteinase\SARS-CoV-2,0,1.58
6yvf,"The structure of the SARS-CoV-2 main protease bound to AZD6482 with a resolution of 1.6 脜, forming a dimer. As ligands it has chloride ions, a calcium ion, dimethyl sulfoxide, di(hydroxyethyl)ether and 2-[[(1R)-1-(7-methyl-2-morpholin-4-yl-4-oxidanylidene-pyrido[1,2-a]pyrimidin-9-yl)ethyl]amino]benzoic acid.",X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/6yvf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6yvf,3c_like_proteinase,SARS-CoV-2,0,1.41
6yz6,X-ray diffraction data. Structure of the hemiacetal complex between the main-protease of SARS-CoV-2 and Leupeptin.,X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/6yz6,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6yz6,3c_like_proteinase,SARS-CoV-2,0,
6z2e,Full length 3C-like protease from SARS-CoV with a peptide like activity-based probe in the active site. This X-ray crystal structure was phased using PDB entry 6y2e for molecular replacement & has data to a resolution of 1.7Å.,X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/6z2e,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6z2e,3c_like_proteinase,SARS-CoV-2,0,
6zrt,"Crystal structure of 3C-like protease from SARS CoV2 (Homodimer) in complex with inhibitor Telaprevir. Docking studies, enzyme inhibition and co-crystal structure analyses showed that telaprevir does not inhibit.",X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/6zrt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6zrt,3c_like_proteinase,SARS-CoV-2,0,1.64
6zru,"X-ray diffraction crystal structure of SARS-CoV-2 main protease, which is responsible for cutting the polyprotein into functional parts, in complex with repurposed anti-HCV drug, Boceprevir. This is protease inhibitor which binds covalently to Serine.",X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/6zru,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6zru,3c_like_proteinase,SARS-CoV-2,0,1.37
7aku,"Crystal structure of 3C-like protease from SARS CoV2 (Homodimer) bound to Calpeptin. It binds covalently via its aldehyde group to Cys145, forming a thiohemiacetal. This peptidomimetic inhibitor occupies substrate pockets S1 to S3. ",X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7aku,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7aku,3c_like_proteinase,SARS-CoV-2,0,2.39
7bqy,Full length 3C-like protease from SARS-CoV with a peptide like enzyme inhibitor in the active site. This X-ray crystal structure was phased using PDB entry 6lu7 for molecular replacement & has data to a resolution of 1.7Å.,X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7bqy,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7bqy,3c_like_proteinase,SARS-CoV-2,0,1.17
7bro,Full length 3C-like protease from SARS-CoV. This X-ray crystal structure was phased using PDB entry 3f9f for molecular replacement & has data to a resolution of 2Å.,X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7bro,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7bro,3c_like_proteinase,SARS-CoV-2,0,1.5
7brp,Full length 3C-like protease from SARS-CoV with the peptide like enzyme inhibitor Boceprevir in the active site. This X-ray crystal structure was phased using PDB entry 3f9f for molecular replacement & has data to a resolution of 1.8Å.,X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7brp,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7brp,3c_like_proteinase,SARS-CoV-2,0,1.28
7brr,Full length 3C-like protease from SARS-CoV with the peptide like enzyme inhibitor Boceprevir in the active site. This X-ray crystal structure was phased using PDB entry 3f9f for molecular replacement & has data to a resolution of 1.8Ã….,X-RAY DIFFRACTION,../pdb\3c_like_proteinase\SARS-CoV-2\7brr,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\3c_like_proteinase\SARS-CoV-2\7brr,..,pdb\3c_like_proteinase\SARS-CoV-2,0,1.24
7buy,Full length 3C-like protease from SARS-CoV with an antineoplastic drug carmofur in the active site. This X-ray crystal structure was phased using PDB entry 6lu7 for molecular replacement & has data to a resolution of 1.6Å.,X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7buy,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7buy,3c_like_proteinase,SARS-CoV-2,0,1.54
7c2q,"Crystal structure of the SARS-CoV-2 main protease in the apo-state, forming a homodimer.",X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7c2q,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7c2q,3c_like_proteinase,SARS-CoV-2,0,1.24
7c2y,"X-ray diffraction crystal structure of SARS-CoV-2 main protease, which is responsible for cutting the polyprotein into functional parts, in the apo state.",X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7c2y,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7c2y,3c_like_proteinase,SARS-CoV-2,0,1.12
7c6s,"X-ray diffraction crystal structure of SARS-CoV-2 main protease, which is responsible for cutting the polyprotein into functional parts, in complex with repurposed anti-HCV drug, Boceprevir. This is protease inhibitor which binds covalently to Serine.",X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7c6s,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7c6s,3c_like_proteinase,SARS-CoV-2,0,1.19
7c6u,"Crystal structure of the SARS-CoV-2 main protease in complex with GC376, forming a homodimer.",X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7c6u,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7c6u,3c_like_proteinase,SARS-CoV-2,0,1.4
7c7p,"X-ray diffraction data. Structure of the main-protease of SARS-CoV-2, in complex with Telaprevir.",X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7c7p,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7c7p,3c_like_proteinase,SARS-CoV-2,0,1.89
7c8b,Crystal structure of the SARS-CoV-2 main protease in complex with Z-VAD(OMe)-FMK. It has a chloride ion as ligand and one modified residue.,X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7c8b,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7c8b,3c_like_proteinase,SARS-CoV-2,0,1.66
7c8r,"Complex Structure of SARS-CoV-2 3CL Protease with TG-0203770. Cyclic homo-2-mer with one unique protein chain. Ligand is ethyl (4R)-4-[[(2S)-4-methyl-2-[[(2S,3R)-3-[(2-methylpropan-2-yl)oxy]-2-(phenylmethoxycarbonylamino)butanoyl]amino]pentanoyl]amino]-5-[(3S)-2-oxidanylidenepyrrolidin-3-yl]pentanoate.",X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7c8r,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7c8r,3c_like_proteinase,SARS-CoV-2,0,2.21
7c8t,Full length 3C-like protease from SARS-CoV with the inhibitor TG-0205221 in the active site. This X-ray crystal structure was phased using PDB entry 2zu4 for molecular replacement & has data to a resolution of 2.05Å.,X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7c8t,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7c8t,3c_like_proteinase,SARS-CoV-2,0,2.22
7c8u,"Crystal structure of COVID-19 main protease in complex with GC376. Cyclic homo-2-mer with one unique protein chain. Ligand is (1S,2S)-2-({N-[(benzyloxy)carbonyl]-L-leucyl}amino)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid.",X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7c8u,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7c8u,3c_like_proteinase,SARS-CoV-2,0,5.57
7cbt,Crystal structure of 3C-like protease from SARS CoV2 (Homodimer) in complex with protease inhibitor GC376.,X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7cbt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7cbt,3c_like_proteinase,SARS-CoV-2,0,2.21
7com,"Crystal structure of the SARS-CoV-2 main protease in complex with boceprevir (space group P212121), forming a homodimer.",X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7com,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7com,3c_like_proteinase,SARS-CoV-2,0,1.44
7cwb,"Ambient-Temperature Serial Femtosecond X-ray crystal structure of SARS-CoV-2 main protease, which is responsible for cutting the polyprotein into functional parts. Shows altered conformation of active site",X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7cwb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7cwb,3c_like_proteinase,SARS-CoV-2,0,1.5
7cwc,Ambient-Temperature Serial Femtosecond X-ray diffraction data. Structure of the main-protease of SARS-CoV-2.,X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7cwc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7cwc,3c_like_proteinase,SARS-CoV-2,0,1.83
7cx9,"X-ray diffraction crystal structure of SARS-CoV-2 main protease, which is responsible for cutting the polyprotein into functional parts, in complex with INZ-1",X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7cx9,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7cx9,3c_like_proteinase,SARS-CoV-2,0,1.71
7d1m,"Crystal structure of SARS-CoV-2 main protease complexed with GC376. Cyclic homo-2-mer. Ligand is (1S,2S)-2-({N-[(benzyloxy)carbonyl]-L-leucyl}amino)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid, a nucleotide analogue that inhibits viral RNA dependent RNA polymerase (RdRp), results in sterilizing additive effect.",X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7d1m,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7d1m,3c_like_proteinase,SARS-CoV-2,0,1.43
7d1o,"Crystal structure of the SARS-CoV-2 main protease in complex with narlaprevir, forming a homodimer.",X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7d1o,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7d1o,3c_like_proteinase,SARS-CoV-2,0,1.38
7d3i,"X-ray diffraction crystal structure of SARS-CoV-2 main protease, which is responsible for cutting the polyprotein into functional parts, in complex with MI-23. MI-23 is a bicycloproline-containing Mpro inhibitor. Measurement was part of a drug screen of potential inhibitors which are derived from either Boceprevir or Telaprevir.",X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7d3i,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7d3i,3c_like_proteinase,SARS-CoV-2,0,1.02
7jkv,Full length 3C-like protease from Sars-Cov-2 with a 1.25A resolution and in complex with inhibitor FRL-2420. It was done via x-ray diffraction and [V7G] (https://www.rcsb.org/ligand/V7G) is bound.,X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7jkv,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7jkv,3c_like_proteinase,SARS-CoV-2,0,1.44
7jox,Full length 3C-like protease from SARS-CoV with the inhibitor TG-0205221 in the active site. This X-ray crystal structure was phased using PDB entry 2zu4 for molecular replacement & has data to a resolution of 2.05Ã….,X-RAY DIFFRACTION,../pdb\3c_like_proteinase\SARS-CoV-2\7jox,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\3c_like_proteinase\SARS-CoV-2\7jox,..,pdb\3c_like_proteinase\SARS-CoV-2,0,1.93
7joy,Crystal structure of SARS CoV2 3C-like protease C145A mutant in complex with its C-terminal autoprocessing sequence. Product bound state at 2.0 Å resolution. Mutation of the catalytic cysteine to alanine (C145A) abolishes activity.,X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7joy,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7joy,3c_like_proteinase,SARS-CoV-2,0,1.74
7jp1,"Crystal structure of 3C-like protease from SARS CoV2 (Homodimer), wild-type substrate free.",X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7jp1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7jp1,3c_like_proteinase,SARS-CoV-2,0,1.37
7jr3,Crystal structure of the SARS-CoV-2 main protease crystallized under reducing conditions. It forms a homodimer and has a resolution of 1.55 脜.,X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7jr3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7jr3,3c_like_proteinase,SARS-CoV-2,0,1.38
7jr4,Crystal structure of 3C-like protease from SARS CoV2 (Homodimer) with alternative conformation of the active site promoted by methylene-bridged cysteine and lysine residues. The resolution is 1.55 Å.,X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7jr4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7jr4,3c_like_proteinase,SARS-CoV-2,0,1.16
7ju7,"The crystal structure of the SARS-CoV-2 main protease in complex with masitinib, forming a homodimer. Further ligands are dimethyl sulfoxide and glycerol. The structure has a resolution of 1.60 脜.",X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7ju7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7ju7,3c_like_proteinase,SARS-CoV-2,0,1.08
7jun,"Joint neutron/X-ray structure of SARS-CoV-2 3CL Mpro at room temperature. Cyclic homo-2-mer with one unique protein chain.Room-temperature neutron structure of 3CL Mpro, which allowed direct determination of hydrogen atom positions and, hence, protonation states in the protease..",X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7jun,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7jun,3c_like_proteinase,SARS-CoV-2,0,2.99
7jvz,"Room temperature structure of the SARS-CoV-2 main protease, forming a homodimer.",X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7jvz,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7jvz,3c_like_proteinase,SARS-CoV-2,0,3.05
7jyc,Crystal structure of 3C-like protease from SARS CoV2 (Homodimer) in complex with covalent inhibitor narlaprevir. Narlaprevir is an hepatitis C serine protease inhibitor.,X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7jyc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7jyc,3c_like_proteinase,SARS-CoV-2,0,1.38
7k3t,Crystal Structure of SARS-CoV-2 Main Protease (3CLpro/Mpro) in the Apo Form at 1.2 A Resolution,X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7k3t,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7k3t,3c_like_proteinase,SARS-CoV-2,0,1.19
7k40,The crystal structure of SARS-CoV-2 main protease (3CLpro/Mpro) in complex with covalent inhibitor boceprevir at 1.35 脜 resolution with dimethyl sulfide as ligand.,X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7k40,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7k40,3c_like_proteinase,SARS-CoV-2,0,1.42
7k6d,Crystal structure of 3C-like protease from SARS CoV2 (Homodimer) ‒ Co-Crystal Structure with Telaprevir. Determined from Crystals Grown with 40 nL Acoustically Ejected Mpro Droplets. The resolution is 1.48 Å.,X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7k6d,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7k6d,3c_like_proteinase,SARS-CoV-2,0,1.07
7k6e,SARS-CoV-2 Main Protease Co-Crystal Structure with Telaprevir Determined from Crystals Grown with 40 nL Acoustically Ejected Mpro Droplets at 1.63 A Resolution (Direct Vitrification).,X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7k6e,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7k6e,3c_like_proteinase,SARS-CoV-2,0,1.06
7kfi,SARS-CoV-2 Main protease immature form - apo structure. Cyclic homo-2-mer with one unique protein chain. Resolution of 1.6 A.,X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7kfi,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7kfi,3c_like_proteinase,SARS-CoV-2,0,1.31
7kfj,Full length 3C-like protease from SARS-CoV with the inhibitor TG-0205221 in the active site. This X-ray crystal structure was phased using PDB entry 2zu4 for molecular replacement & has data to a resolution of 2.05Ã….,X-RAY DIFFRACTION,../pdb\3c_like_proteinase\SARS-CoV-2\7kfj,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\3c_like_proteinase\SARS-CoV-2\7kfj,..,pdb\3c_like_proteinase\SARS-CoV-2,0,1.64
7khp,Crystal structure of Acyl-enzyme intermediate structure of SARS-CoV-2 3C-like protease in complex with its native C-terminal autocleavage sequence.,X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7khp,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7khp,3c_like_proteinase,SARS-CoV-2,0,1.94
7koa,Structure of SARS-CoV-2 Nsp10/16 Methyltransferase. The structure consists two Nsp chains dimerized. The Nsp16 chain is in complex with [Cap-0/GTA] (https://www.rcsb.org/ligand/GTA) and [SAM] (https://www.rcsb.org/ligand/SAM). It was determined with pink-beam serial crystallography.,X-RAY DIFFRACTION,pdb/methyltransferase-nsp10/SARS-CoV-2/7koa,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/methyltransferase-nsp10/SARS-CoV-2/7koa,methyltransferase-nsp10,SARS-CoV-2,0,1.65
7kph,"1.45 Å X-ray diffraction crystal structure of SARS-CoV-2 main protease, which is responsible for cutting the polyprotein into functional parts, in mature form.",X-RAY DIFFRACTION,pdb/3c_like_proteinase/SARS-CoV-2/7kph,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7kph,3c_like_proteinase,SARS-CoV-2,0,1.23
2h85,"Full length SARS-CoV Nsp15 (endoribonuclease) featuring an N-terminal oligomerisation domain, the middle domain, and the catalytic NendoU domain at the C-terminal. The model contains one Nsp15 monomers which can be used to produce the full biological assembly (a hexamer consisting of a dimer of trimers) though generation of symmetry mates. This X-ray crystal structure has data to a resolution of 2.60Å.",X-RAY DIFFRACTION,pdb/endornase/SARS-CoV/2h85,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/endornase/SARS-CoV/2h85,endornase,SARS-CoV,0,2.02
2ozk,"A truncated SARS-CoV Nsp15 (endoribonuclease) from residue 28-355 featuring a truncated N-terminal oligomerisation domain, the middle domain, and the catalytic NendoU domain at the C-terminal. The model contains four Nsp15 monomers and is unable to produce the full biological assembly (a hexamer consisting of a dimer of trimers) though generation of symmetry mates. This X-ray crystal structure has data to a resolution of 2.90Å.",X-RAY DIFFRACTION,pdb/endornase/SARS-CoV/2ozk,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/endornase/SARS-CoV/2ozk,endornase,SARS-CoV,1,3.2
2rhb,"Full length SARS-CoV Nsp15 (endoribonuclease) featuring an N-terminal oligomerisation domain, the middle domain, and the catalytic NendoU domain at the C-terminal. The model contains six Nsp15 monomers forming the full biological assembly (a hexamer consisting of a dimer of trimers). This protein has a H234A mutation. This X-ray crystal structure has data to a resolution of 2.80Å.",X-RAY DIFFRACTION,pdb/endornase/SARS-CoV/2rhb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/endornase/SARS-CoV/2rhb,endornase,SARS-CoV,0,2.56
6vww,"Full length SARS-CoV-2 Nsp15 (endoribonuclease) featuring an N-terminal oligomerisation domain, the middle domain, and the catalytic NendoU domain at the C-terminal. The model contains two Nsp15 monomers, one from each of the two trimers, which can be used to produce the full biological assembly (a hexamer consisting of a dimer of trimers) though generation of symmetry mates. This protein is bound to two magnesium ions not related to the active site. This X-ray crystal structure has data to a resolution of 2.20Å.",X-RAY DIFFRACTION,pdb/endornase/SARS-CoV-2/6vww,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/endornase/SARS-CoV-2/6vww,endornase,SARS-CoV-2,1,1.09
6w01,"Full length SARS-CoV-2 Nsp15 (endoribonuclease)featuring an N-terminal oligomerisation domain, the middle domain, and the catalytic NendoU domain at the C-terminal. The model contains two Nsp15 monomers, one from each of the two trimers, which can be used to produce the full biological assembly (a hexamer consisting of a dimer of trimers) though generation of symmetry mates. This protein is bound to a citrate molecule. This X-ray crystal structure has data to a resolution of 1.90Å.",X-RAY DIFFRACTION,pdb/endornase/SARS-CoV-2/6w01,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/endornase/SARS-CoV-2/6w01,endornase,SARS-CoV-2,1,0.99
6wlc,"Full length SARS-CoV-2 Nsp15 (endoribonuclease) featuring an N-terminal oligomerisation domain, the middle domain, and the catalytic NendoU domain at the C-terminal. The model contains two Nsp15 monomers, one from each of the two trimers, which can be used to produce the full biological assembly (a hexamer consisting of a dimer of trimers) though generation of symmetry mates. This protein is bound to uridine-5'-monophosphate. This X-ray crystal structure has data to a resolution of 1.82Å.",X-RAY DIFFRACTION,pdb/endornase/SARS-CoV-2/6wlc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/endornase/SARS-CoV-2/6wlc,endornase,SARS-CoV-2,0,1.21
6wxc,"Full length SARS-CoV-2 Nsp15 (endoribonuclease) featuring an N-terminal oligomerisation domain, the middle domain, and the catalytic NendoU domain at the C-terminal. The model contains two Nsp15 monomers, one from each of the two trimers, which can be used to produce the full biological assembly (a hexamer consisting of a dimer of trimers) though generation of symmetry mates. This protein is bound to a potentially repurposed drug, Tipiracil (5-Chloro-6-(1-(2-iminopyrolidinyl) methyl) uracil). This X-ray crystal structure has data to a resolution of 1.85Å.",X-RAY DIFFRACTION,pdb/endornase/SARS-CoV-2/6wxc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/endornase/SARS-CoV-2/6wxc,endornase,SARS-CoV-2,0,1.4
6x1b,"Full length SARS-CoV-2 Nsp15 (endoribonuclease) featuring an N-terminal oligomerisation domain, the middle domain, and the catalytic NendoU domain at the C-terminal. The model contains two Nsp15 monomers, one from each of the two trimers, which can be used to produce the full biological assembly (a hexamer consisting of a dimer of trimers) though generation of symmetry mates. This protein is bound to product nucleotide GpU. This X-ray crystal structure has data to a resolution of 1.97Å.",X-RAY DIFFRACTION,pdb/endornase/SARS-CoV-2/6x1b,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/endornase/SARS-CoV-2/6x1b,endornase,SARS-CoV-2,0,1.18
6x4i,"Full length SARS-CoV-2 Nsp15 (endoribonuclease) featuring an N-terminal oligomerisation domain, the middle domain, and the catalytic NendoU domain at the C-terminal. The model contains two Nsp15 monomers, one from each of the two trimers, which can be used to produce the full biological assembly (a hexamer consisting of a dimer of trimers) though generation of symmetry mates. This protein is bound to 3'-uridinemonophosphate. This X-ray crystal structure has data to a resolution of 1.85Å.",X-RAY DIFFRACTION,pdb/endornase/SARS-CoV-2/6x4i,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/endornase/SARS-CoV-2/6x4i,endornase,SARS-CoV-2,0,0.97
